Title,Price,List Price,Delivery
"2021 Apple MacBook Pro 14-Inch M1 Pro 10-Core CPU, 16-Core GPU (16GB Unified RAM, 1TB SSD, Silver) Pre Owned / 3 Month Warranty","R 30,900.00 inc. VAT","R 38,999.00",N/A
"2023 Apple MacBook Pro 14-Inch M3 8-Core CPU, 10-Core GPU (8GB Unified RAM, 512GB SSD, Space Gray) - Demo, No Box / Apple Limited Warranty","R 31,900.00 inc. VAT","R 37,499.00",N/A
"2021 Apple MacBook Pro 16-Inch M1 Pro 10-Core CPU, 16-Core GPU (16GB Unified RAM, 512GB SSD, Space Gray) Pre Owned / 3 Month Warranty","R 33,900.00 inc. VAT","R 38,999.00",N/A
"2023 Apple MacBook Pro 14-Inch M3 8-Core CPU, 10-Core GPU (8GB Unified RAM, 512GB SSD, Space Gray) - New / 1 Year Apple Warranty","R 34,900.00 inc. VAT","R 37,499.00",N/A
"2023 Apple MacBook Pro 14-Inch M3 8-Core CPU, 10-Core GPU (8GB Unified RAM, 512GB SSD, Silver) - New / 1 Year Apple Warranty","R 34,900.00 inc. VAT","R 37,499.00",N/A
"2024 Apple MacBook Air 13-Inch M3 8-Core CPU, 10-Core GPU (16GB Unified RAM, 512GB, Midnight) - New / 1 Year Apple Warranty",N/A,N/A,N/A
"2024 Apple MacBook Air 13-Inch M3 8-Core CPU, 10-Core GPU (16GB Unified RAM, 512GB, Silver) - New / 1 Year Apple Warranty",N/A,N/A,N/A
"Apple Watch Series 7 (45mm, Midnight Aluminium with Midnight Sports Band, GPS & Cellular) - Pre Owned / 3 Month Warranty","R 6,900.00 inc. VAT","R 8,999.00",N/A
"Apple Watch Series 8 (45mm, Midnight Aluminium with Midnight Nike Sports Band, GPS & Cellular) - Pre Owned / 3 Month Warranty","R 7,400.00 inc. VAT","R 12,499.00",N/A
"Apple Watch Series 8 (45mm, Silver Aluminium with White Sports Band, GPS & Cellular) - Pre Owned / 3 Month Warranty","R 7,400.00 inc. VAT","R 12,499.00",N/A
"Apple Watch Series 9 (45mm, Silver Aluminium with Storm Blue Sports Band, GPS) - New, Open Box / 1 Year Apple Warranty","R 9,900.00 inc. VAT","R 10,999.00",N/A
"Apple Watch Series 9 (45mm, Midnight Aluminium Case with Midnight Sports Band, GPS & Cellular) - New / 1 Year Apple Warranty","R 12,400.00 inc. VAT","R 13,999.00",N/A
"Apple Watch Series 9 (45mm, Silver Aluminium with Storm Blue Sports Band, GPS & Cellular) - New / 1 Year Apple Warranty","R 12,400.00 inc. VAT","R 13,999.00",N/A
"Apple Watch Series 9 (45mm, Red Aluminium with Red Sports Band, GPS & Cellular) - New / 1 Year Apple Warranty","R 12,400.00 inc. VAT","R 13,999.00",N/A
"Apple Watch Ultra 2 (49mm, Titanium with Blue Ocean Band, GPS & Cellular) - Pre Owned / Apple Limited Warranty","R 16,900.00 inc. VAT","R 19,899.00",N/A
"Apple Watch Ultra 2 (49mm, Titanium with Blue Alpine Loop, GPS & Cellular) - Pre Owned / 3 Month Warranty","R 16,900.00 inc. VAT","R 19,899.00",N/A
